feature,pearson_r,spearman_rho
age,0.24419113608104065,0.2407868726191389
age_years,0.24394814359186257,0.24174574834100507
cholesterol,0.22285642558724358,0.21659918299015476
weight,0.18218533909928938,0.18287787503787653
gluc,0.09338729371889956,0.0955238520425679
ap_lo,0.06566984707531551,0.36418122239768175
ap_hi,0.04990388437593458,0.4529070431848598
active,-0.032685748513914946,-0.03268574851391501
smoke,-0.016533434985483226,-0.016533434985483274
height,-0.013642632275964392,-0.016263321814983665
alco,-0.009548685316059869,-0.009548685316059891
gender,0.0063131679213247836,0.006313167921324664
id,0.0024548492874437236,0.002444353373532914
