feature,pearson_r,spearman_rho,point_biserial_r,mutual_info
active,-0.032685748513914946,-0.03268574851391501,-0.03268574851391497,0.006337260935473266
age,0.24419113608104065,0.2407868726191389,0.24419113608104043,0.0334236947116715
age_years,0.24394814359186257,0.24174574834100507,0.2439481435918625,0.03336934518276813
alco,-0.009548685316059869,-0.009548685316059891,-0.00954868531605978,0.0
ap_hi,0.04990388437593458,0.4529070431848598,0.04990388437593452,0.12022946062798878
ap_lo,0.06566984707531551,0.36418122239768175,0.06566984707531538,0.07654599170110865
cholesterol,0.22285642558724358,0.21659918299015476,0.22285642558724275,0.03259937524675571
gender,0.0063131679213247836,0.006313167921324664,0.006313167921324696,0.0012490565393943331
gluc,0.09338729371889956,0.0955238520425679,0.09338729371889973,0.005603455332915397
height,-0.013642632275964392,-0.016263321814983665,-0.013642632275964371,0.000479283532728525
id,0.0024548492874437236,0.002444353373532914,0.0024548492874437236,0.0008401670423883179
smoke,-0.016533434985483226,-0.016533434985483274,-0.016533434985483344,0.0012080812348056469
weight,0.18218533909928938,0.18287787503787653,0.18218533909928938,0.015935314848310345
